,0,1,2,3,4,5,6,7,8,9,target
0,9.47921869387705,8.944831710581159,9.00857003970359,7.518304168280287,9.701701899418277,6.919924485440574,9.293256965104566,8.379623418949478,8.199133270003621,9.38088396561931,1
1,9.711041865829154,8.740024185362648,9.119091185787452,7.462073073452825,10.083251745441682,7.086780652187363,9.503189753324959,8.705572602793374,7.974268362883711,9.632222376857898,1
2,9.573881292679866,9.082764813857448,8.94725073108606,7.2764699881412245,9.548695125897977,7.0210377521578105,9.419760714442003,8.617704058372894,8.25132702627844,9.122582999022674,1
3,9.358281686232205,9.032069786407295,9.430387137009633,7.5618441038712785,9.670345791282532,6.975782727356296,9.792529742169977,8.616894176113146,8.122424076052303,9.648915666082468,1
4,9.229494933968233,8.986129339601616,9.319663312958054,7.416598092377072,9.763284493445317,7.053609947703488,9.430153583322713,8.330127269590912,7.99310086421273,9.171457288815139,1
5,9.357255832793564,8.664065528487964,9.316574154018657,7.616854788616684,9.614951322449887,6.995804922014184,9.32633992861968,8.390710273082044,8.364405469313818,9.125837497571858,1
6,9.424842352042933,8.612682196753205,9.13109620672016,7.6391293538924225,9.618691303761604,6.932370539165653,9.46453578776139,8.663626235375075,8.309761501266301,9.379784519750253,1
7,9.691975566060163,8.948103692040645,8.976367776517574,7.284103311045794,9.817601879252798,6.939582101522504,9.748804916699005,8.329097378617915,8.108605795953771,9.240366438833203,1
8,9.2570683564233,8.918867253396181,9.170627045619286,7.5454776344713235,9.726021045651748,7.054713000243534,9.706578714792437,8.408029670566577,8.157264002860092,9.529912701587438,1
9,9.863384115747165,8.877863570613362,9.15406552921542,7.547781827275922,9.78798578766655,7.071635956984124,9.451425191172731,8.447201255025975,7.866563293405385,9.1325003663607,1
10,9.217337076567754,9.046033288180071,8.996128532618032,7.322644235378447,9.610103625113146,7.038345846395543,9.268210139549863,8.507755498459662,8.070656813301259,9.380593299995061,1
11,9.447168070166228,9.194527142534602,9.068628032454855,7.250557063307558,9.62374409395176,6.995387168882046,9.667866075569583,8.415805753820797,8.109607798528863,9.316257640649699,1
12,9.473538954858485,8.92908659906507,9.1277242541566,7.785235930037731,9.76477538347997,6.9430764141709345,9.45258197463071,8.512525015095164,8.114026239549325,9.384763310885882,1
13,9.579034823249787,9.070021362536147,8.919752962716025,7.715871060766192,9.668224738150347,6.8992880018782445,9.546347913255294,8.450630850071862,7.974055999848911,9.146147370701367,1
14,9.551776887105145,9.135622077701907,9.321400006309238,7.477063480568493,9.849493410586403,7.166887324389561,9.415634674544197,8.817629069905866,8.270725977543012,9.248749964110747,1
15,9.136447829603174,8.726788206305274,9.079628997979935,7.393273860391303,9.564769936172544,6.907085736184892,9.849881973133362,8.416567644891554,8.325905400838202,9.046891157884865,1
16,9.608599359991143,9.301479005688297,9.534519804748207,7.538673168551606,9.782278355642065,7.040715134731797,9.405320029831673,8.382452415509242,8.327274912668633,8.819586129665861,1
17,9.494552761751946,8.73073846800228,9.226036448481103,7.568515854392289,9.686608478252019,6.760716454355982,9.46780957757477,8.639097492896216,8.037840466696064,9.060617272091543,1
18,9.568492277696965,8.88253645885353,9.390951867041725,7.307658841977422,9.258963794632878,6.926514318977144,9.342644173971742,8.665263222200206,7.878414337133902,9.259952458540486,1
